member,material,burst_kHz,level,capture_index,selected
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_47.csv,BMIM_nitrate,20,75,47,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_48.csv,BMIM_nitrate,20,75,48,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_49.csv,BMIM_nitrate,20,75,49,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_50.csv,BMIM_nitrate,20,75,50,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_51.csv,BMIM_nitrate,20,75,51,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_52.csv,BMIM_nitrate,20,75,52,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_53.csv,BMIM_nitrate,20,75,53,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_54.csv,BMIM_nitrate,20,75,54,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_55.csv,BMIM_nitrate,20,75,55,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_56.csv,BMIM_nitrate,20,75,56,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_57.csv,BMIM_nitrate,20,75,57,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_58.csv,BMIM_nitrate,20,75,58,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_59.csv,BMIM_nitrate,20,75,59,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_60.csv,BMIM_nitrate,20,75,60,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_61.csv,BMIM_nitrate,20,75,61,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_62.csv,BMIM_nitrate,20,75,62,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_63.csv,BMIM_nitrate,20,75,63,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/75% breakdown/0_75breakdown-0005/0_75breakdown-0005_64.csv,BMIM_nitrate,20,75,64,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_01.csv,BMIM_nitrate,20,90,1,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_02.csv,BMIM_nitrate,20,90,2,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_03.csv,BMIM_nitrate,20,90,3,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_04.csv,BMIM_nitrate,20,90,4,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_05.csv,BMIM_nitrate,20,90,5,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_06.csv,BMIM_nitrate,20,90,6,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_07.csv,BMIM_nitrate,20,90,7,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_08.csv,BMIM_nitrate,20,90,8,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_09.csv,BMIM_nitrate,20,90,9,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_10.csv,BMIM_nitrate,20,90,10,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_11.csv,BMIM_nitrate,20,90,11,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_12.csv,BMIM_nitrate,20,90,12,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_13.csv,BMIM_nitrate,20,90,13,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_14.csv,BMIM_nitrate,20,90,14,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_15.csv,BMIM_nitrate,20,90,15,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_16.csv,BMIM_nitrate,20,90,16,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_17.csv,BMIM_nitrate,20,90,17,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_18.csv,BMIM_nitrate,20,90,18,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_19.csv,BMIM_nitrate,20,90,19,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_20.csv,BMIM_nitrate,20,90,20,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_21.csv,BMIM_nitrate,20,90,21,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_22.csv,BMIM_nitrate,20,90,22,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_23.csv,BMIM_nitrate,20,90,23,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_24.csv,BMIM_nitrate,20,90,24,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_25.csv,BMIM_nitrate,20,90,25,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_26.csv,BMIM_nitrate,20,90,26,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_27.csv,BMIM_nitrate,20,90,27,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_28.csv,BMIM_nitrate,20,90,28,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_29.csv,BMIM_nitrate,20,90,29,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_30.csv,BMIM_nitrate,20,90,30,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_31.csv,BMIM_nitrate,20,90,31,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_32.csv,BMIM_nitrate,20,90,32,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_33.csv,BMIM_nitrate,20,90,33,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_34.csv,BMIM_nitrate,20,90,34,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_35.csv,BMIM_nitrate,20,90,35,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_36.csv,BMIM_nitrate,20,90,36,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_37.csv,BMIM_nitrate,20,90,37,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_38.csv,BMIM_nitrate,20,90,38,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_39.csv,BMIM_nitrate,20,90,39,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_40.csv,BMIM_nitrate,20,90,40,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_41.csv,BMIM_nitrate,20,90,41,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_42.csv,BMIM_nitrate,20,90,42,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_43.csv,BMIM_nitrate,20,90,43,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_44.csv,BMIM_nitrate,20,90,44,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_45.csv,BMIM_nitrate,20,90,45,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_46.csv,BMIM_nitrate,20,90,46,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_47.csv,BMIM_nitrate,20,90,47,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_48.csv,BMIM_nitrate,20,90,48,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_49.csv,BMIM_nitrate,20,90,49,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_50.csv,BMIM_nitrate,20,90,50,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_51.csv,BMIM_nitrate,20,90,51,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_52.csv,BMIM_nitrate,20,90,52,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_53.csv,BMIM_nitrate,20,90,53,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_54.csv,BMIM_nitrate,20,90,54,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_55.csv,BMIM_nitrate,20,90,55,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_56.csv,BMIM_nitrate,20,90,56,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_57.csv,BMIM_nitrate,20,90,57,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_58.csv,BMIM_nitrate,20,90,58,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_59.csv,BMIM_nitrate,20,90,59,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_60.csv,BMIM_nitrate,20,90,60,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_61.csv,BMIM_nitrate,20,90,61,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_62.csv,BMIM_nitrate,20,90,62,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_63.csv,BMIM_nitrate,20,90,63,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/90% breakdown/0_9breakdown-0006/0_9breakdown-0006_64.csv,BMIM_nitrate,20,90,64,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_01.csv,BMIM_nitrate,20,100,1,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_02.csv,BMIM_nitrate,20,100,2,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_03.csv,BMIM_nitrate,20,100,3,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_04.csv,BMIM_nitrate,20,100,4,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_05.csv,BMIM_nitrate,20,100,5,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_06.csv,BMIM_nitrate,20,100,6,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_07.csv,BMIM_nitrate,20,100,7,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_08.csv,BMIM_nitrate,20,100,8,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_09.csv,BMIM_nitrate,20,100,9,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_10.csv,BMIM_nitrate,20,100,10,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_11.csv,BMIM_nitrate,20,100,11,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_12.csv,BMIM_nitrate,20,100,12,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_13.csv,BMIM_nitrate,20,100,13,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_14.csv,BMIM_nitrate,20,100,14,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_15.csv,BMIM_nitrate,20,100,15,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_16.csv,BMIM_nitrate,20,100,16,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_17.csv,BMIM_nitrate,20,100,17,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_18.csv,BMIM_nitrate,20,100,18,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_19.csv,BMIM_nitrate,20,100,19,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_20.csv,BMIM_nitrate,20,100,20,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_21.csv,BMIM_nitrate,20,100,21,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_22.csv,BMIM_nitrate,20,100,22,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_23.csv,BMIM_nitrate,20,100,23,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_24.csv,BMIM_nitrate,20,100,24,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_25.csv,BMIM_nitrate,20,100,25,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_26.csv,BMIM_nitrate,20,100,26,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_27.csv,BMIM_nitrate,20,100,27,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_28.csv,BMIM_nitrate,20,100,28,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_29.csv,BMIM_nitrate,20,100,29,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_30.csv,BMIM_nitrate,20,100,30,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_31.csv,BMIM_nitrate,20,100,31,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_32.csv,BMIM_nitrate,20,100,32,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_33.csv,BMIM_nitrate,20,100,33,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_34.csv,BMIM_nitrate,20,100,34,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_35.csv,BMIM_nitrate,20,100,35,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_36.csv,BMIM_nitrate,20,100,36,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_37.csv,BMIM_nitrate,20,100,37,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_38.csv,BMIM_nitrate,20,100,38,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_39.csv,BMIM_nitrate,20,100,39,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_40.csv,BMIM_nitrate,20,100,40,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_41.csv,BMIM_nitrate,20,100,41,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_42.csv,BMIM_nitrate,20,100,42,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_43.csv,BMIM_nitrate,20,100,43,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_44.csv,BMIM_nitrate,20,100,44,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_45.csv,BMIM_nitrate,20,100,45,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_46.csv,BMIM_nitrate,20,100,46,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_47.csv,BMIM_nitrate,20,100,47,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_48.csv,BMIM_nitrate,20,100,48,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_49.csv,BMIM_nitrate,20,100,49,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_50.csv,BMIM_nitrate,20,100,50,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_51.csv,BMIM_nitrate,20,100,51,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_52.csv,BMIM_nitrate,20,100,52,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_53.csv,BMIM_nitrate,20,100,53,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_54.csv,BMIM_nitrate,20,100,54,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_55.csv,BMIM_nitrate,20,100,55,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_56.csv,BMIM_nitrate,20,100,56,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_57.csv,BMIM_nitrate,20,100,57,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_58.csv,BMIM_nitrate,20,100,58,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_59.csv,BMIM_nitrate,20,100,59,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_60.csv,BMIM_nitrate,20,100,60,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_61.csv,BMIM_nitrate,20,100,61,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_62.csv,BMIM_nitrate,20,100,62,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_63.csv,BMIM_nitrate,20,100,63,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/breakdown-0002/breakdown-0002_64.csv,BMIM_nitrate,20,100,64,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_01.csv,BMIM_nitrate,20,105,1,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_02.csv,BMIM_nitrate,20,105,2,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_03.csv,BMIM_nitrate,20,105,3,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_04.csv,BMIM_nitrate,20,105,4,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_05.csv,BMIM_nitrate,20,105,5,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_06.csv,BMIM_nitrate,20,105,6,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_07.csv,BMIM_nitrate,20,105,7,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_08.csv,BMIM_nitrate,20,105,8,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_09.csv,BMIM_nitrate,20,105,9,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_10.csv,BMIM_nitrate,20,105,10,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_11.csv,BMIM_nitrate,20,105,11,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_12.csv,BMIM_nitrate,20,105,12,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_13.csv,BMIM_nitrate,20,105,13,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_14.csv,BMIM_nitrate,20,105,14,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_15.csv,BMIM_nitrate,20,105,15,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_16.csv,BMIM_nitrate,20,105,16,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_17.csv,BMIM_nitrate,20,105,17,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_18.csv,BMIM_nitrate,20,105,18,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_19.csv,BMIM_nitrate,20,105,19,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_20.csv,BMIM_nitrate,20,105,20,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_21.csv,BMIM_nitrate,20,105,21,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_22.csv,BMIM_nitrate,20,105,22,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_23.csv,BMIM_nitrate,20,105,23,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_24.csv,BMIM_nitrate,20,105,24,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_25.csv,BMIM_nitrate,20,105,25,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_26.csv,BMIM_nitrate,20,105,26,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_27.csv,BMIM_nitrate,20,105,27,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_28.csv,BMIM_nitrate,20,105,28,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_29.csv,BMIM_nitrate,20,105,29,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_30.csv,BMIM_nitrate,20,105,30,True
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_31.csv,BMIM_nitrate,20,105,31,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_32.csv,BMIM_nitrate,20,105,32,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_33.csv,BMIM_nitrate,20,105,33,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/105% breakdown/105breakdown-0007/105breakdown-0007_34.csv,BMIM_nitrate,20,105,34,False
