condition,condition_label,material,burst_kHz,charge_polarity,n_max_files,scan_source,calibration_transferred,evidence_tier,passive_background_status,carrier_polarity_assignment,carrier_polarity_assignment_status,Ccell_reactive_pF,Ccell_reactive_ci_low_pF,Ccell_reactive_ci_high_pF,Cd_scan_status,Cd_scan_pF,Cd_scan_ci_low_pF,Cd_scan_ci_high_pF,Cd_scan_charge_factor_status,Cd_scan_based_factor_diagnostic,Cd_geometry_scenario_pF,charge_correction_factor,model_sensitivity_draw_valid_fraction,retained_charge_nC,retained_charge_ci_low_nC,retained_charge_ci_high_nC,retained_charge_status,raw_qv_energy_per_burst_uJ,raw_qv_energy_per_burst_uJ_ci_low,raw_qv_energy_per_burst_uJ_ci_high,apparent_lissajous_power_mW,apparent_lissajous_power_mW_ci_low,apparent_lissajous_power_mW_ci_high,detected_activity_on_fraction,detected_activity_on_fraction_ci_low,detected_activity_on_fraction_ci_high,peak_halfcycle_charge_nC,peak_halfcycle_charge_nC_repeat_ci_low,peak_halfcycle_charge_nC_repeat_ci_high,peak_halfcycle_charge_nC_analysis_ci_low,peak_halfcycle_charge_nC_analysis_ci_high,peak_halfcycle_charge_nC_model_sensitivity_low,peak_halfcycle_charge_nC_model_sensitivity_high,peak_halfcycle_charge_nC_status,peak_halfcycle_average_flow_per_s,peak_halfcycle_average_flow_per_s_repeat_ci_low,peak_halfcycle_average_flow_per_s_repeat_ci_high,peak_halfcycle_average_flow_per_s_analysis_ci_low,peak_halfcycle_average_flow_per_s_analysis_ci_high,peak_halfcycle_average_flow_per_s_model_sensitivity_low,peak_halfcycle_average_flow_per_s_model_sensitivity_high,peak_halfcycle_average_flow_per_s_status,whole_record_average_flow_per_s,whole_record_average_flow_per_s_repeat_ci_low,whole_record_average_flow_per_s_repeat_ci_high,whole_record_average_flow_per_s_analysis_ci_low,whole_record_average_flow_per_s_analysis_ci_high,whole_record_average_flow_per_s_model_sensitivity_low,whole_record_average_flow_per_s_model_sensitivity_high,whole_record_average_flow_per_s_status,record_total_charge_nC,record_total_charge_nC_repeat_ci_low,record_total_charge_nC_repeat_ci_high,record_total_charge_nC_analysis_ci_low,record_total_charge_nC_analysis_ci_high,record_total_charge_nC_model_sensitivity_low,record_total_charge_nC_model_sensitivity_high,record_total_charge_nC_status,reportability
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20,negative,64,BMIM_nitrate_20kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,12.664623246369368,12.664623246369368,12.670446359570635,supported_provisional_three_level_effective_Cd,212.56104085705545,210.4169278499837,244.4111099895639,not_usable_physical_Ccell_not_supported,1.0633559290243746,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3251.659078846955,3232.0150384069143,3265.362139041312,65001.980626299264,64608.29039164248,65275.837409849904,0.47708333333333747,0.47708333333332875,0.47708342890292516,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20,positive,64,BMIM_nitrate_20kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,12.664623246369368,12.664623246369368,12.670446359570635,supported_provisional_three_level_effective_Cd,212.56104085705545,210.4169278499837,244.4111099895639,not_usable_physical_Ccell_not_supported,1.0633559290243746,,1.0,1.0,,,,not_measured_no_quiet_record_edges,3251.659078846955,3232.0150384069143,3265.362139041312,65001.980626299264,64608.29039164248,65275.837409849904,0.47708333333333747,0.47708333333332875,0.47708342890292516,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4,negative,64,argon_only_4kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,2.310643909182949,2.3016796614883632,2.316784205478476,rejected_three_level_effective_Cd,62.78077128068591,58.297280435952594,71.53415912048544,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,7901.719984067127,7709.218099053922,8033.932655943958,31604.857225435626,30835.998580634157,32133.674068665478,0.42155640471671646,0.4198918187158609,0.4219725512169303,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4,positive,64,argon_only_4kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,2.310643909182949,2.3016796614883632,2.316784205478476,rejected_three_level_effective_Cd,62.78077128068591,58.297280435952594,71.53415912048544,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,7901.719984067127,7709.218099053922,8033.932655943958,31604.857225435626,30835.998580634157,32133.674068665478,0.42155640471671646,0.4198918187158609,0.4219725512169303,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10,negative,64,argon_only_10kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,6.743876867232859,6.727960631291823,6.757810166975307,rejected_three_level_effective_Cd,60.51368957295459,60.86869636427666,63.41513982721381,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,6561.298951245804,6214.509282302106,7006.100789591597,65649.75337440905,62163.17297617728,69750.87848622106,0.4416666666666606,0.4406249439728499,0.4427083776751069,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10,positive,64,argon_only_10kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,6.743876867232859,6.727960631291823,6.757810166975307,rejected_three_level_effective_Cd,60.51368957295459,60.86869636427666,63.41513982721381,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,6561.298951245804,6214.509282302106,7006.100789591597,65649.75337440905,62163.17297617728,69750.87848622106,0.4416666666666606,0.4406249439728499,0.4427083776751069,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20,negative,64,argon_only_20kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,1.9884577353026964,1.9639726935984254,2.023713840193542,rejected_three_level_effective_Cd,102.202757160093,102.20274935716621,102.20277666741404,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,1775.1812892770827,1774.5163628322143,1776.4006449823728,35486.592221308616,35468.025581695416,35510.96763521576,0.42500008513623455,0.42500000000000954,0.4270832185663449,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20,positive,64,argon_only_20kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,1.9884577353026964,1.9639726935984254,2.023713840193542,rejected_three_level_effective_Cd,102.202757160093,102.20274935716621,102.20277666741404,not_usable_active_Cd_fit_rejected,,,1.0,1.0,,,,not_measured_no_quiet_record_edges,1775.1812892770827,1774.5163628322143,1776.4006449823728,35486.592221308616,35468.025581695416,35510.96763521576,0.42500008513623455,0.42500000000000954,0.4270832185663449,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4,negative,64,pure_water_4kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.97131995231878,17.940179537859535,17.99305964696254,supported_provisional_three_level_effective_Cd,25.190685773285946,20.63842140891538,29.327334835997423,not_usable_physical_Ccell_not_supported,3.489321139555606,,1.0,1.0,,,,not_measured_no_quiet_record_edges,9225.778674501931,9164.941673032781,9251.39287408222,36900.75304984703,36657.420617245894,36999.31341404598,0.39409072358014247,0.39367458920238796,0.39450688220280883,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4,positive,64,pure_water_4kHz,False,diagnostic_complex_background_model_rejected,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.97131995231878,17.940179537859535,17.99305964696254,supported_provisional_three_level_effective_Cd,25.190685773285946,20.63842140891538,29.327334835997423,not_usable_physical_Ccell_not_supported,3.489321139555606,,1.0,1.0,,,,not_measured_no_quiet_record_edges,9225.778674501931,9164.941673032781,9251.39287408222,36900.75304984703,36657.420617245894,36999.31341404598,0.39409072358014247,0.39367458920238796,0.39450688220280883,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_10kHz,"Pure water, 10 kHz",pure_water,10,negative,64,pure_water_4kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.97131995231878,17.940179537859535,17.99305964696254,supported_provisional_three_level_effective_Cd,25.190685773285946,20.63842140891538,29.327334835997423,not_usable_physical_Ccell_not_supported,3.489321139555606,,1.0,1.0,,,,not_measured_no_quiet_record_edges,7391.339643357693,7350.529511737689,7412.604109698411,73954.81112787762,73546.48114688785,74155.03398523488,0.45312500000000044,0.4520833326473329,0.45416666666665756,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_10kHz,"Pure water, 10 kHz",pure_water,10,positive,64,pure_water_4kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.97131995231878,17.940179537859535,17.99305964696254,supported_provisional_three_level_effective_Cd,25.190685773285946,20.63842140891538,29.327334835997423,not_usable_physical_Ccell_not_supported,3.489321139555606,,1.0,1.0,,,,not_measured_no_quiet_record_edges,7391.339643357693,7350.529511737689,7412.604109698411,73954.81112787762,73546.48114688785,74155.03398523488,0.45312500000000044,0.4520833326473329,0.45416666666665756,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_20kHz,"Pure water, 20 kHz",pure_water,20,negative,64,pure_water_4kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.97131995231878,17.940179537859535,17.99305964696254,supported_provisional_three_level_effective_Cd,25.190685773285946,20.63842140891538,29.327334835997423,not_usable_physical_Ccell_not_supported,3.489321139555606,,1.0,1.0,,,,not_measured_no_quiet_record_edges,6423.903064177682,6373.2789627606535,6467.901829648948,128416.42140140105,127423.74492276527,129295.38279672324,0.5333333333333281,0.5312501064203033,0.5333333333333327,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_20kHz,"Pure water, 20 kHz",pure_water,20,positive,64,pure_water_4kHz,True,diagnostic_transferred_background,failed_empirical_complex_background_validation,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.97131995231878,17.940179537859535,17.99305964696254,supported_provisional_three_level_effective_Cd,25.190685773285946,20.63842140891538,29.327334835997423,not_usable_physical_Ccell_not_supported,3.489321139555606,,1.0,1.0,,,,not_measured_no_quiet_record_edges,6423.903064177682,6373.2789627606535,6467.901829648948,128416.42140140105,127423.74492276527,129295.38279672324,0.5333333333333281,0.5312501064203033,0.5333333333333327,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
