condition,condition_label,material,burst_kHz,polarity,bin_index,bin_left,bin_right,source_x_key,source_y_key,x_median,x_ci_low,x_ci_high,estimate,ci_low,ci_high,n_captures,n_observations,within_capture_statistic,across_capture_statistic,uncertainty,amplitude_kV,model_dependent_charge_nC,model_dependent_charge_nC_ci_low,model_dependent_charge_nC_ci_high
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,0,0.05249343666666667,0.528574067638889,amplitude_kV,model_dependent_charge_nC,0.05249343666666667,0.05249343666666667,0.05249343666666667,0.33725285253458137,0.33725285253458137,0.33725285253458137,1,18,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.05249343666666667,0.33725285253458137,0.33725285253458137,0.33725285253458137
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,2,1.0046546986111113,1.4807353295833336,amplitude_kV,model_dependent_charge_nC,1.026390245,1.026390245,1.026390245,4.133484653779256,4.133484653779256,4.133484653779256,1,1,median,median,95_percent_circular_moving_block_bootstrap_over_captures,1.026390245,4.133484653779256,4.133484653779256,4.133484653779256
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,10,4.81329974638889,5.289380377361112,amplitude_kV,model_dependent_charge_nC,5.214254802020834,5.18623888489583,5.23680736466666,-107.43013046707489,-114.86632076744633,-104.39136606295195,64,1648,median,median,95_percent_circular_moving_block_bootstrap_over_captures,5.214254802020834,-107.43013046707489,-114.86632076744633,-104.39136606295195
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,11,5.289380377361112,5.765461008333334,amplitude_kV,model_dependent_charge_nC,5.369289117791663,5.343975423333333,5.372395634666667,-108.69163233137324,-112.24415916703964,-103.981964469658,61,823,median,median,95_percent_circular_moving_block_bootstrap_over_captures,5.369289117791663,-108.69163233137324,-112.24415916703964,-103.981964469658
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,0,0.05249343666666667,0.528574067638889,amplitude_kV,model_dependent_charge_nC,0.1708087225,0.1708087225,0.1708087225,-1.9849184450129747,-1.9849184450129747,-1.9849184450129747,1,2,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.1708087225,-1.9849184450129747,-1.9849184450129747,-1.9849184450129747
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,2,1.0046546986111113,1.4807353295833336,amplitude_kV,model_dependent_charge_nC,1.0790887483333331,1.0790887483333331,1.0790887483333331,2.9407215219069016,2.9407215219069016,2.9407215219069016,1,1,median,median,95_percent_circular_moving_block_bootstrap_over_captures,1.0790887483333331,2.9407215219069016,2.9407215219069016,2.9407215219069016
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,9,4.3372191154166675,4.81329974638889,amplitude_kV,model_dependent_charge_nC,4.71221259510417,4.659510178395837,4.736585610541667,15.295060790234494,12.876944874911846,17.14257619860238,64,2036,median,median,95_percent_circular_moving_block_bootstrap_over_captures,4.71221259510417,15.295060790234494,12.876944874911846,17.14257619860238
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,10,4.81329974638889,5.289380377361112,amplitude_kV,model_dependent_charge_nC,4.841978837229167,4.829794232260417,4.843903743041674,14.450311117668875,12.943615589991087,16.59309124223637,48,435,median,median,95_percent_circular_moving_block_bootstrap_over_captures,4.841978837229167,14.450311117668875,12.943615589991087,16.59309124223637
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,0,0.05249343666666667,0.5154080011111111,amplitude_kV,model_dependent_charge_nC,0.05249343666666667,0.05249343666666667,0.05249343666666667,-0.011922546082087038,-0.011922546082087038,-0.011922546082087038,1,41,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.05249343666666667,-0.011922546082087038,-0.011922546082087038,-0.011922546082087038
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,1,0.5154080011111111,0.9783225655555554,amplitude_kV,model_dependent_charge_nC,0.5263697533333334,0.5263697533333334,0.5263697533333334,-3.450383039658888,-3.450383039658888,-3.450383039658888,1,1,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.5263697533333334,-3.450383039658888,-3.450383039658888,-3.450383039658888
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,2,0.9783225655555554,1.44123713,amplitude_kV,model_dependent_charge_nC,1.026390245,1.026390245,1.026390245,-1.5165576135867056,-1.5165576135867056,-1.5165576135867056,1,1,median,median,95_percent_circular_moving_block_bootstrap_over_captures,1.026390245,-1.5165576135867056,-1.5165576135867056,-1.5165576135867056
