condition,material,burst_kHz,member,capture_index,period_index,start_s,stop_s,midpoint_s,signed_raw_qv_energy_uJ,raw_qv_energy_uJ,apparent_power_using_capture_frequency_mW,detected_activity_on_fraction,closure_delta_V_kV,closure_delta_Q_nC,closure_contribution_fraction,detected_burst_Hz,detector_method,source_voltage_clipped,monitor_voltage_clipped,power_usable
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,14,0.00353443981,0.0037843518000000003,0.003659395805,3663.431293496065,3663.431293496065,14652.787395604639,0.1843528995947727,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,15,0.0037844558,0.00403436778,0.00390941179,3698.3696298722657,3698.3696298722657,14792.531797467855,0.18268828088993447,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,16,0.00403447178,0.00428438377,0.004159427775,3634.1092559073677,3634.1092559073677,14535.506751210982,0.1839367530945612,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,17,0.00428448777,0.00453439976,0.004409443765,3713.3030309606015,3713.3030309606015,14852.261579115228,0.18268831359391882,0.0,7.874016,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,18,0.00453450376,0.00478441574,0.00465945975,3652.8281917825807,3652.8281917825807,14610.37770297099,0.19017891819351712,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,19,0.004784519740000001,0.0050344317299999995,0.004909475735,3689.5804415644757,3689.5804415644757,14757.377294124875,0.18310446009413472,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,20,0.00503453573,0.00528444772,0.005159491725,3695.833811589376,3695.833811589376,14782.389173464222,0.18268831359391882,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,21,0.00528455172,0.0055344637,0.00540950771,3632.239601013402,3632.239601013402,14528.028610236135,0.18393676045462262,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,22,0.0055345677000000005,0.00578447969,0.005659523695,3681.4621750438478,3681.4621750438478,14724.90630618556,0.18893051109712722,0.0,7.874016,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,23,0.00578458369,0.00603449567,0.00590953968,3740.7066925202653,3740.7066925202653,14961.869210465578,0.18310446742089034,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,24,0.006034599670000001,0.0062845116599999995,0.006159555665,3713.2811165069693,3713.2811165069693,14852.17392691044,0.18352060659434655,0.0,7.874016,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,25,0.00628461566,0.00653452765,0.006409571655,3743.2376536234588,3743.2376536234588,14971.992406993784,0.18185602059349,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,26,0.00653463165,0.00678454363,0.00665958764,3633.4407605625956,3633.4407605625956,14532.832940955746,0.18851433212605603,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,27,0.0067846476300000005,0.007034559619999999,0.006909603625,3682.731338244025,3682.731338244025,14729.982634101289,0.18227216709370417,0.0,7.874016,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,28,0.00703466362,0.00728457561,0.007159619615,3737.5921363664906,3737.5921363664906,14949.411783125817,0.19184353659862377,0.0,0.0,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,29,0.007284679610000001,0.00753459159,0.0074096356000000006,3694.530710521328,3694.530710521328,14777.177102764548,0.19184350426098234,0.0,-7.874016,0.0,3999.7440163866904,current activity-envelope rising edges,False,False,True
