condition,condition_label,material,burst_kHz,charge_polarity,n_max_files,scan_source,calibration_transferred,evidence_tier,carrier_polarity_assignment,carrier_polarity_assignment_status,Ccell_reactive_pF,Ccell_reactive_ci_low_pF,Ccell_reactive_ci_high_pF,Cd_scan_status,Cd_geometry_scenario_pF,charge_correction_factor,model_sensitivity_draw_valid_fraction,retained_charge_nC,retained_charge_ci_low_nC,retained_charge_ci_high_nC,retained_charge_status,peak_halfcycle_charge_nC,peak_halfcycle_charge_nC_repeat_ci_low,peak_halfcycle_charge_nC_repeat_ci_high,peak_halfcycle_charge_nC_analysis_ci_low,peak_halfcycle_charge_nC_analysis_ci_high,peak_halfcycle_charge_nC_model_sensitivity_low,peak_halfcycle_charge_nC_model_sensitivity_high,peak_halfcycle_charge_nC_status,peak_halfcycle_average_flow_per_s,peak_halfcycle_average_flow_per_s_repeat_ci_low,peak_halfcycle_average_flow_per_s_repeat_ci_high,peak_halfcycle_average_flow_per_s_analysis_ci_low,peak_halfcycle_average_flow_per_s_analysis_ci_high,peak_halfcycle_average_flow_per_s_model_sensitivity_low,peak_halfcycle_average_flow_per_s_model_sensitivity_high,peak_halfcycle_average_flow_per_s_status,whole_record_average_flow_per_s,whole_record_average_flow_per_s_repeat_ci_low,whole_record_average_flow_per_s_repeat_ci_high,whole_record_average_flow_per_s_analysis_ci_low,whole_record_average_flow_per_s_analysis_ci_high,whole_record_average_flow_per_s_model_sensitivity_low,whole_record_average_flow_per_s_model_sensitivity_high,whole_record_average_flow_per_s_status,record_total_charge_nC,record_total_charge_nC_repeat_ci_low,record_total_charge_nC_repeat_ci_high,record_total_charge_nC_analysis_ci_low,record_total_charge_nC_analysis_ci_high,record_total_charge_nC_model_sensitivity_low,record_total_charge_nC_model_sensitivity_high,record_total_charge_nC_status,reportability
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20,negative,2,BMIM_nitrate_20kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,12.394598048557233,12.394598048557233,12.394598048557233,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
BMIM_nitrate_20kHz,"BMIM nitrate, 20 kHz",BMIM_nitrate,20,positive,2,BMIM_nitrate_20kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,12.394598048557233,12.394598048557233,12.394598048557233,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4,negative,2,argon_only_4kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,2.299168939050489,2.299168939050489,2.299168939050489,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4,positive,2,argon_only_4kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,2.299168939050489,2.299168939050489,2.299168939050489,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10,negative,2,argon_only_10kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,6.779957183449897,6.779957183449897,6.779957183449897,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10,positive,2,argon_only_10kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,6.779957183449897,6.779957183449897,6.779957183449897,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20,negative,2,argon_only_20kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,2.0310195130173425,2.0310195130173425,2.0310195130173425,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
argon_only_20kHz,"Argon / no liquid, 20 kHz",argon_only,20,positive,2,argon_only_20kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,2.0310195130173425,2.0310195130173425,2.0310195130173425,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4,negative,2,pure_water_4kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.95498896249907,17.95498896249907,17.95498896249907,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_4kHz,"Pure water, 4 kHz",pure_water,4,positive,2,pure_water_4kHz,False,diagnostic_complex_background_model_rejected,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.95498896249907,17.95498896249907,17.95498896249907,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_10kHz,"Pure water, 10 kHz",pure_water,10,negative,2,pure_water_4kHz,True,diagnostic_transferred_background,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.95498896249907,17.95498896249907,17.95498896249907,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_10kHz,"Pure water, 10 kHz",pure_water,10,positive,2,pure_water_4kHz,True,diagnostic_transferred_background,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.95498896249907,17.95498896249907,17.95498896249907,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_20kHz,"Pure water, 20 kHz",pure_water,20,negative,2,pure_water_4kHz,True,diagnostic_transferred_background,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.95498896249907,17.95498896249907,17.95498896249907,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
pure_water_20kHz,"Pure water, 20 kHz",pure_water,20,positive,2,pure_water_4kHz,True,diagnostic_transferred_background,negative_pin_voltage_assumed_negative_carrier_delivery,explicit_physical_assumption_not_validated_by_channel_D_sign_lock,17.95498896249907,17.95498896249907,17.95498896249907,rejected_three_level_effective_Cd,,1.0,1.0,,,,not_measured_no_quiet_record_edges,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,,,,,,,,not_reportable_passive_background_model_rejected,one_or_more_metrics_not_resolved
