condition,condition_label,material,burst_kHz,polarity,bin_index,bin_left,bin_right,source_x_key,source_y_key,x_median,x_ci_low,x_ci_high,estimate,ci_low,ci_high,n_captures,n_observations,within_capture_statistic,across_capture_statistic,uncertainty,amplitude_kV,model_dependent_charge_nC,model_dependent_charge_nC_ci_low,model_dependent_charge_nC_ci_high
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,5,4.966332546888888,5.054441493333332,amplitude_kV,model_dependent_charge_nC,5.017146236,5.017146236,5.017146236,-89.56966268638377,-89.56966268638377,-89.56966268638377,1,2,median,median,95_percent_circular_moving_block_bootstrap_over_captures,5.017146236,-89.56966268638377,-89.56966268638377,-89.56966268638377
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,6,5.054441493333332,5.142550439777777,amplitude_kV,model_dependent_charge_nC,5.109321176,5.109321176,5.109321176,-81.98466401445303,-81.98466401445303,-81.98466401445303,2,16,median,median,95_percent_circular_moving_block_bootstrap_over_captures,5.109321176,-81.98466401445303,-81.98466401445303,-81.98466401445303
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,7,5.142550439777777,5.2306593862222215,amplitude_kV,model_dependent_charge_nC,5.198615693229165,5.198615693229165,5.198615693229165,-81.07176435022194,-81.07176435022194,-81.07176435022194,2,19,median,median,95_percent_circular_moving_block_bootstrap_over_captures,5.198615693229165,-81.07176435022194,-81.07176435022194,-81.07176435022194
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,8,5.2306593862222215,5.318768332666666,amplitude_kV,model_dependent_charge_nC,5.265915801604167,5.265915801604167,5.265915801604167,-78.03462673370757,-78.03462673370757,-78.03462673370757,2,18,median,median,95_percent_circular_moving_block_bootstrap_over_captures,5.265915801604167,-78.03462673370757,-78.03462673370757,-78.03462673370757
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,9,5.318768332666666,5.406877279111111,amplitude_kV,model_dependent_charge_nC,5.350586409249995,5.350586409249995,5.350586409249995,-85.65789433333626,-85.65789433333626,-85.65789433333626,2,11,median,median,95_percent_circular_moving_block_bootstrap_over_captures,5.350586409249995,-85.65789433333626,-85.65789433333626,-85.65789433333626
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,10,5.406877279111111,5.494986225555555,amplitude_kV,model_dependent_charge_nC,5.424999372999997,5.424999372999997,5.424999372999997,-70.51436044321439,-70.51436044321439,-70.51436044321439,1,8,median,median,95_percent_circular_moving_block_bootstrap_over_captures,5.424999372999997,-70.51436044321439,-70.51436044321439,-70.51436044321439
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,11,5.494986225555555,5.583095171999999,amplitude_kV,model_dependent_charge_nC,5.541591097291666,5.541591097291666,5.541591097291666,-59.15493841619116,-59.15493841619116,-59.15493841619116,1,4,median,median,95_percent_circular_moving_block_bootstrap_over_captures,5.541591097291666,-59.15493841619116,-59.15493841619116,-59.15493841619116
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,0,4.525787814666666,4.613896761111111,amplitude_kV,model_dependent_charge_nC,4.593245592197917,4.593245592197917,4.593245592197917,-0.01899016050720803,-0.01899016050720803,-0.01899016050720803,2,15,median,median,95_percent_circular_moving_block_bootstrap_over_captures,4.593245592197917,-0.01899016050720803,-0.01899016050720803,-0.01899016050720803
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,1,4.613896761111111,4.702005707555555,amplitude_kV,model_dependent_charge_nC,4.658524022791671,4.658524022791671,4.658524022791671,10.968175252644418,10.968175252644418,10.968175252644418,2,25,median,median,95_percent_circular_moving_block_bootstrap_over_captures,4.658524022791671,10.968175252644418,10.968175252644418,10.968175252644418
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,2,4.702005707555555,4.790114653999999,amplitude_kV,model_dependent_charge_nC,4.732543599687503,4.732543599687503,4.732543599687503,9.620886366078405,9.620886366078405,9.620886366078405,2,14,median,median,95_percent_circular_moving_block_bootstrap_over_captures,4.732543599687503,9.620886366078405,9.620886366078405,9.620886366078405
