condition,material,burst_kHz,member,capture_index,burst_index,target_charge_polarity,pin_voltage_polarity,amplitude_kV,duration_s,midpoint_s,nominal_directed_terminal_charge_nC,passive_background_nC,terminal_excess_nC,model_factor,model_dependent_charge_nC,halfcycle_average_equivalent_flow_per_s,above_passive_resolution_threshold,background_model,evidence_tier,factor_source
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,13,negative,-1,4.132935586666666,4.710296720007723e-06,0.003299371646289081,329.7436172805824,99.65655180192427,230.08706547865813,1.0,230.08706547865813,3.048832361241858e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,14,negative,-1,4.132935586666666,4.736347402064991e-06,0.0035494006616301095,326.458525823757,99.08755330575822,227.37097251799878,1.0,227.37097251799878,2.996270897741435e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,15,negative,-1,4.104515256999993,4.782395479936176e-06,0.0037994316798286975,316.13379274506383,99.2112662826436,216.92252646242022,1.0,216.92252646242022,2.8310580399516016e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,16,negative,-1,4.1330381266666665,4.756448759629141e-06,0.004049444380064873,323.6015383002838,98.28354829183951,225.31799000844427,1.0,225.31799000844427,2.956668620533222e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,17,negative,-1,4.132935586666666,4.735589231298805e-06,0.004299470732199679,321.7319633543811,99.43330173761778,222.2986616167633,1.0,222.2986616167633,2.929897518457221e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,18,negative,-1,4.080237053333334,4.7563405948247706e-06,0.004549476336517916,309.1015553904096,98.67566748398141,210.4258879064282,1.0,210.4258879064282,2.7613142134910995e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,19,negative,-1,4.130967083666659,4.7261325190938244e-06,0.004799510776656121,316.83272808216014,99.06703251671048,217.76569556544968,1.0,217.76569556544968,2.8758960090239296e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,20,negative,-1,4.132935586666666,4.753703246771282e-06,0.005049539903708581,323.50128394883933,99.34864650504367,224.15263744379564,1.0,224.15263744379564,2.943075425711523e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,21,negative,-1,4.078268550333327,4.708083843609108e-06,0.005299533722318379,311.35605710748035,98.89909411561953,212.45696299186082,1.0,212.45696299186082,2.8165430066545994e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,22,negative,-1,4.104522947499993,4.747757658304409e-06,0.005549560902541193,313.54922337687617,99.5083178830136,214.04090549386257,1.0,214.04090549386257,2.8138299173906285e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,23,negative,-1,4.132935586666666,4.736347402889418e-06,0.005799596541630521,325.4864633573195,100.27578276063328,225.21068059668625,1.0,225.21068059668625,2.9678027962057414e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,24,negative,-1,4.080237053333334,4.719059091750841e-06,0.00604962116578609,334.679631688111,99.13439113346676,235.54524055464424,1.0,235.54524055464424,3.115362041000434e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,25,negative,-1,4.133030436166667,4.745086534206459e-06,0.006299650138269362,330.71528853048846,98.90060407279755,231.81468445769093,1.0,231.81468445769093,3.049203520748654e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,26,negative,-1,4.080237053333334,4.736347402888551e-06,0.006549644501630522,305.7258006152456,98.52134051732375,207.20446009792184,1.0,207.20446009792184,2.7305187055772096e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,27,negative,-1,4.078268550333327,4.701690261788884e-06,0.006799676837102113,329.7123399535075,100.06859667966759,229.64374327383993,1.0,229.64374327383993,3.04852814143368e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,28,negative,-1,4.080237053333334,4.6843474028899004e-06,0.007049702471630521,339.95889172218216,99.93351985343246,240.0253718687497,1.0,240.0253718687497,3.1981414010741165e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,29,negative,-1,4.078268550333327,4.682725992550575e-06,0.007299718299236731,326.3598704219904,99.62693592627191,226.7329344957185,1.0,226.7329344957185,3.022076607483372e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,30,negative,-1,4.080237053333334,4.71029672000859e-06,0.00754974741628908,335.3456268375347,99.69124320808926,235.65438362944548,1.0,235.65438362944548,3.1226036517227296e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,31,negative,-1,4.161355916333333,4.7163500078847495e-06,0.007799774428773366,325.08623540723704,100.0441433305616,225.04209207667543,1.0,225.04209207667543,2.978155263040282e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
5mM_Mn_nitrate_in_water_4kHz,5mM_Mn_nitrate_in_water,4,Lissajouswaveformsdifferentmediums/manganese nitrate in water/Lissajousfigure4kHz/Lissajousfigure4kHz_01.csv,1,32,negative,-1,4.078276240833326,4.734732326212854e-06,0.008049792259870757,330.10497939351785,99.04757277536261,231.05740661815526,1.0,231.05740661815526,3.045888976963792e+17,True,whole_waveform_complex_Cstar_endpoint_projection,diagnostic_complex_background_model_rejected,none
