member,level_label,carrier_Hz,record_duration_s,voltage_pp_kV,q_sign,current_sign,monitor_Cprime_pF,monitor_Closs_pF,monitor_tan_delta,monitor_phase_deg,current_Creactive_pF,current_G_uS,current_monitor_gain_ratio,current_monitor_phase_error_deg,monitor_x_Uqpp_kV,monitor_y_Qpp_nC,current_x_Uqpp_kV,current_y_Qpp_nC,skipped_rows,clipping_flag,quiet_both_edges
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/115% breakdown/115breakdown-0008/115breakdown-0008_60.csv,115,119994.81622405129,0.01000032746,6.94706445344,1,-1,52.80237447472991,34.90274480258716,0.6610071071574797,-33.46498691104477,100.10665258748084,9.396317591885719,1.5937910341872519,26.368453710300884,4.19552922796,576.5994064,6.725303406526,751.39858810879,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/115% breakdown/115breakdown-0008/115breakdown-0008_64.csv,115,119994.81622405129,0.01000032746,6.78911023456,1,-1,51.10748723662235,34.37197117743315,0.6725427728092853,-33.9225192679884,98.70139405995069,9.44727486057764,1.6154010780081887,26.687386298624745,4.132686153658,533.9382317999999,6.472524407542001,717.7059471183726,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_01.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,26.849932152669712,9.095763295658768,0.33876298993755066,-18.714478044085165,72.98934133563228,0.058117945373934846,2.574694675576533,18.65396751844952,0.630535612808,63.17667399999999,1.8000771928579997,133.36246758466842,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_05.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,26.793292521235358,9.139677720066052,0.3411181254719735,-18.835439125540304,73.03816128726272,0.24107510788897216,2.5800342279737807,18.58460879930348,0.63064283726,61.5957192,1.8001245599859999,133.6998646490002,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_09.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,27.028214920285915,8.850918152208404,0.32746957867222615,-18.132047242937677,72.93437688753782,0.067727327513208,2.5644549849090716,18.061478607210574,0.6308132999039999,61.5957192,1.8001086889220002,133.72055069533118,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_14.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,26.875772244939245,8.677456613804232,0.3228728289077614,-17.89385835541569,72.72703854276352,-0.008617369214113149,2.5751460754304984,17.902862844439,0.63051980326,63.17667399999999,1.8001087504379998,133.31180176262117,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_18.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,26.935077540960144,8.849395161888976,0.3285453753913168,-18.187698403813776,73.10059298455063,0.12482998163054962,2.5783701119886846,18.057927436115705,0.630627027712,61.5957192,1.80000146247,133.5895450110037,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_22.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,27.012326153185654,9.046595498584827,0.3349061997579179,-18.51601726292914,73.11251831299137,0.10865543937836213,2.566531176609756,18.403079431126457,0.630535612808,63.17667399999999,1.800092879374,133.43780091200037,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_26.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,27.016449990814618,9.015711341905336,0.33371191792299165,-18.454468774439363,73.01333797602528,0.07725208577610104,2.563576354265026,18.374062858346065,0.6621388972600001,63.17667399999999,1.800092879374,133.6217342199783,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_30.csv,40,120094.811904238,0.01000032746,1.73682607805,1,-1,29.6398430714066,1.4863288317167573,0.050146312453003876,-2.8707673456266565,71.94423212716798,-10.90547174880037,2.4726652715945714,14.229367806481065,0.03141732184,7.874016,0.031496062000000005,7.846067229000512,0,False,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_35.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,26.83499896162228,8.941851175227626,0.3332160060082617,-18.428898485490176,72.98790871717544,0.13505658659261327,2.580400897810934,18.28827940423372,0.630627027712,63.17667399999999,1.8001086889220002,133.64366747597748,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_39.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,27.099322377575696,9.177759380834674,0.33867117608922725,-18.709758919733066,73.19717199853646,0.24046464661831732,2.5583581977192313,18.46010725673142,0.63064283726,63.17667399999999,1.800092879374,133.46858954000552,0,True,False
Lissajouswaveformsdifferentmediums/ionic liquid/20 kHz/40% breakdown/0_4breakdown-0003/0_4breakdown-0003_43.csv,40,119994.81622405129,0.01000032746,1.89492186563,1,-1,27.027234797598396,9.1188977330534,0.33739662238268237,-18.64422117307767,72.90501089229986,0.2966007272161758,2.5559441993587098,18.33505576442394,0.630535610808,63.17667399999999,1.8000928793760003,133.269055019626,0,True,False
