condition,condition_label,material,burst_kHz,polarity,bin_index,bin_left,bin_right,source_x_key,source_y_key,x_median,x_ci_low,x_ci_high,estimate,ci_low,ci_high,n_captures,n_observations,within_capture_statistic,across_capture_statistic,uncertainty,midpoint_s,model_dependent_charge_nC,model_dependent_charge_nC_ci_low,model_dependent_charge_nC_ci_high
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,0,0.00015877719730235902,0.0009521928319715143,midpoint_s,model_dependent_charge_nC,0.0005469093293432859,0.0005469093293432859,0.0005469093293432859,-74.08664311903446,-74.08664311903446,-74.08664311903446,2,8,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0005469093293432859,-74.08664311903446,-74.08664311903446,-74.08664311903446
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,1,0.0009521928319715143,0.0017456084666406695,midpoint_s,model_dependent_charge_nC,0.0014218099733223617,0.0014218099733223617,0.0014218099733223617,-72.95765364089094,-72.95765364089094,-72.95765364089094,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0014218099733223617,-72.95765364089094,-72.95765364089094,-72.95765364089094
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,2,0.0017456084666406695,0.0025390241013098246,midpoint_s,model_dependent_charge_nC,0.002171717510963552,0.002171717510963552,0.002171717510963552,-79.101391576751,-79.101391576751,-79.101391576751,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.002171717510963552,-79.101391576751,-79.101391576751,-79.101391576751
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,3,0.0025390241013098246,0.00333243973597898,midpoint_s,model_dependent_charge_nC,0.002921623113941035,0.002921623113941035,0.002921623113941035,-89.33864554095283,-89.33864554095283,-89.33864554095283,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.002921623113941035,-89.33864554095283,-89.33864554095283,-89.33864554095283
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,4,0.00333243973597898,0.004125855370648135,midpoint_s,model_dependent_charge_nC,0.0036715496594982543,0.0036715496594982543,0.0036715496594982543,-79.55922529559776,-79.55922529559776,-79.55922529559776,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0036715496594982543,-79.55922529559776,-79.55922529559776,-79.55922529559776
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,5,0.004125855370648135,0.00491927100531729,midpoint_s,model_dependent_charge_nC,0.00448396084266519,0.00448396084266519,0.00448396084266519,-74.28888776186065,-74.28888776186065,-74.28888776186065,2,7,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00448396084266519,-74.28888776186065,-74.28888776186065,-74.28888776186065
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,6,0.00491927100531729,0.005712686639986446,midpoint_s,model_dependent_charge_nC,0.005358857319821442,0.005358857319821442,0.005358857319821442,-76.71456648814964,-76.71456648814964,-76.71456648814964,2,7,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.005358857319821442,-76.71456648814964,-76.71456648814964,-76.71456648814964
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,7,0.005712686639986446,0.006506102274655601,midpoint_s,model_dependent_charge_nC,0.006171273611624766,0.006171273611624766,0.006171273611624766,-72.19712599824189,-72.19712599824189,-72.19712599824189,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006171273611624766,-72.19712599824189,-72.19712599824189,-72.19712599824189
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,8,0.006506102274655601,0.007299517909324756,midpoint_s,model_dependent_charge_nC,0.006921179820052102,0.006921179820052102,0.006921179820052102,-84.41620047356795,-84.41620047356795,-84.41620047356795,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006921179820052102,-84.41620047356795,-84.41620047356795,-84.41620047356795
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,9,0.007299517909324756,0.00809293354399391,midpoint_s,model_dependent_charge_nC,0.00767108543627607,0.00767108543627607,0.00767108543627607,-83.71546818818805,-83.71546818818805,-83.71546818818805,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00767108543627607,-83.71546818818805,-83.71546818818805,-83.71546818818805
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,10,0.00809293354399391,0.008886349178663067,midpoint_s,model_dependent_charge_nC,0.00842101724256601,0.00842101724256601,0.00842101724256601,-74.33568284510244,-74.33568284510244,-74.33568284510244,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.00842101724256601,-74.33568284510244,-74.33568284510244,-74.33568284510244
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,negative,11,0.008886349178663067,0.009679764813332221,midpoint_s,model_dependent_charge_nC,0.009295911799854964,0.009295911799854964,0.009295911799854964,-70.16998514015111,-70.16998514015111,-70.16998514015111,2,8,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.009295911799854964,-70.16998514015111,-70.16998514015111,-70.16998514015111
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,0,0.00015877719730235902,0.0009521928319715143,midpoint_s,model_dependent_charge_nC,0.0005426126123515833,0.0005426126123515833,0.0005426126123515833,11.27629126067319,11.27629126067319,11.27629126067319,2,8,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0005426126123515833,11.27629126067319,11.27629126067319,11.27629126067319
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,1,0.0009521928319715143,0.0017456084666406695,midpoint_s,model_dependent_charge_nC,0.0014175500441694112,0.0014175500441694112,0.0014175500441694112,12.996187035469184,12.996187035469184,12.996187035469184,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0014175500441694112,12.996187035469184,12.996187035469184,12.996187035469184
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,2,0.0017456084666406695,0.0025390241013098246,midpoint_s,model_dependent_charge_nC,0.0021673691204271523,0.0021673691204271523,0.0021673691204271523,17.397410139221215,17.397410139221215,17.397410139221215,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0021673691204271523,17.397410139221215,17.397410139221215,17.397410139221215
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,3,0.0025390241013098246,0.00333243973597898,midpoint_s,model_dependent_charge_nC,0.002917397282742796,0.002917397282742796,0.002917397282742796,-4.150878375025513,-4.150878375025513,-4.150878375025513,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.002917397282742796,-4.150878375025513,-4.150878375025513,-4.150878375025513
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,4,0.00333243973597898,0.004125855370648135,midpoint_s,model_dependent_charge_nC,0.003667241945474909,0.003667241945474909,0.003667241945474909,14.46751987541623,14.46751987541623,14.46751987541623,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.003667241945474909,14.46751987541623,14.46751987541623,14.46751987541623
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,5,0.004125855370648135,0.00491927100531729,midpoint_s,model_dependent_charge_nC,0.004479737146500161,0.004479737146500161,0.004479737146500161,15.913856127686515,15.913856127686515,15.913856127686515,2,7,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.004479737146500161,15.913856127686515,15.913856127686515,15.913856127686515
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,6,0.00491927100531729,0.005712686639986446,midpoint_s,model_dependent_charge_nC,0.005354612734273653,0.005354612734273653,0.005354612734273653,4.773036669567826,4.773036669567826,4.773036669567826,2,7,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.005354612734273653,4.773036669567826,4.773036669567826,4.773036669567826
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,7,0.005712686639986446,0.006506102274655601,midpoint_s,model_dependent_charge_nC,0.006166994887018527,0.006166994887018527,0.006166994887018527,14.349373557183014,14.349373557183014,14.349373557183014,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006166994887018527,14.349373557183014,14.349373557183014,14.349373557183014
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,8,0.006506102274655601,0.007299517909324756,midpoint_s,model_dependent_charge_nC,0.006916879656449289,0.006916879656449289,0.006916879656449289,-0.28435842833972913,-0.28435842833972913,-0.28435842833972913,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.006916879656449289,-0.28435842833972913,-0.28435842833972913,-0.28435842833972913
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,9,0.007299517909324756,0.00809293354399391,midpoint_s,model_dependent_charge_nC,0.007666837934825472,0.007666837934825472,0.007666837934825472,9.939678654616209,9.939678654616209,9.939678654616209,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.007666837934825472,9.939678654616209,9.939678654616209,9.939678654616209
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,10,0.00809293354399391,0.008886349178663067,midpoint_s,model_dependent_charge_nC,0.008416713533497888,0.008416713533497888,0.008416713533497888,9.038898364059811,9.038898364059811,9.038898364059811,2,6,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.008416713533497888,9.038898364059811,9.038898364059811,9.038898364059811
argon_only_4kHz,"Argon / no liquid, 4 kHz",argon_only,4.0,positive,11,0.008886349178663067,0.009679764813332221,midpoint_s,model_dependent_charge_nC,0.009291621549734598,0.009291621549734598,0.009291621549734598,9.510440859514805,9.510440859514805,9.510440859514805,2,8,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.009291621549734598,9.510440859514805,9.510440859514805,9.510440859514805
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,0,4.229416118495932e-05,0.0008625758127110996,midpoint_s,model_dependent_charge_nC,0.0004412368609267822,0.0004412368609267822,0.0004412368609267822,-112.5476220018661,-112.5476220018661,-112.5476220018661,2,17,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0004412368609267822,-112.5476220018661,-112.5476220018661,-112.5476220018661
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,1,0.0008625758127110996,0.0016828574642372399,midpoint_s,model_dependent_charge_nC,0.0012661335585942295,0.0012661335585942295,0.0012661335585942295,-111.5855673823136,-111.5855673823136,-111.5855673823136,2,16,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0012661335585942295,-111.5855673823136,-111.5855673823136,-111.5855673823136
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,2,0.0016828574642372399,0.0025031391157633804,midpoint_s,model_dependent_charge_nC,0.002091039414518037,0.002091039414518037,0.002091039414518037,-111.63007508001361,-111.63007508001361,-111.63007508001361,2,17,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.002091039414518037,-111.63007508001361,-111.63007508001361,-111.63007508001361
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,3,0.0025031391157633804,0.0033234207672895207,midpoint_s,model_dependent_charge_nC,0.0029159490173805203,0.0029159490173805203,0.0029159490173805203,-113.6226870081501,-113.6226870081501,-113.6226870081501,2,16,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.0029159490173805203,-113.6226870081501,-113.6226870081501,-113.6226870081501
argon_only_10kHz,"Argon / no liquid, 10 kHz",argon_only,10.0,negative,4,0.0033234207672895207,0.004143702418815661,midpoint_s,model_dependent_charge_nC,0.003715851003801173,0.003715851003801173,0.003715851003801173,-113.19520193066434,-113.19520193066434,-113.19520193066434,2,16,median,median,95_percent_circular_moving_block_bootstrap_over_captures,0.003715851003801173,-113.19520193066434,-113.19520193066434,-113.19520193066434
