condition,material,burst_kHz,level,vpp,vpp_low,vpp_high,x,x_low,x_high,y,y_low,y_high
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,40,2.0527805,2.0527805,2.0527805,0.662770666,0.662770666,0.662770666,55.271899999999995,55.271899999999995,55.271899999999995
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,60,3.1588336199999993,3.1588336199999993,3.1588336199999993,0.804995072,0.7900344435000001,0.8199557004999999,78.9646907,78.96176859500001,78.96761280499999
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,75,3.6325049400000005,3.6325049400000005,3.6325049400000005,1.642039853,1.6120601548500002,1.67201955115,88.44119180000001,88.44119180000001,88.44119180000001
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,90,4.50110722,4.426304106,4.5759103340000005,1.6897145620000003,1.6747539392000002,1.7046751848000004,78.96007685000001,78.95861579749999,78.96153790250001
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,100,6.0020916500000006,6.0020916500000006,6.0020916500000006,3.0480437430000005,3.03302466575,3.0630628202500008,347.53321400000004,344.52940216,350.53702584
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,105,6.554810405,6.4797149997500005,6.6299058102499995,3.5692051659999997,3.5392254612,3.5991848708,469.1744572,463.16683352,475.18208088000006
5mM_Mn_nitrate_in_water_20kHz,5mM_Mn_nitrate_in_water,20,115,7.26562524,7.26562524,7.26562524,1.690083645,1.64508486865,1.73508242135,463.6411196,459.88635480000005,467.3958844
BMIM_nitrate_20kHz,BMIM_nitrate,20,40,1.89468503,1.89468503,1.89468503,0.6311515700000001,0.6311515700000001,0.6311515700000001,63.17667399999999,63.17667399999999,63.17667399999999
BMIM_nitrate_20kHz,BMIM_nitrate,20,60,2.68454718,2.68454718,2.68454718,0.773375979,0.7584153495500001,0.7883366084499999,88.43504,88.43504,88.43504
BMIM_nitrate_20kHz,BMIM_nitrate,20,75,3.3169291,3.3169291,3.3169291,0.9627214470000001,0.94776081945,0.97768207455,107.3818904,107.3818904,107.3818904
BMIM_nitrate_20kHz,BMIM_nitrate,20,90,4.1067915,4.1067915,4.1067915,-0.6002398670000001,-0.6002690899500001,-0.6002106440500001,116.09713405,115.3505639625,116.8437041375
BMIM_nitrate_20kHz,BMIM_nitrate,20,100,4.65889514,4.583799730000001,4.73399055,2.5108882500000003,2.4958691813,2.5259073187000007,142.9533734,134.69288457000002,151.21386223
BMIM_nitrate_20kHz,BMIM_nitrate,20,105,5.36970949,5.36970949,5.36970949,3.221764192,3.1917844986,3.2517438854000003,300.9258076,300.18069828,301.67091692
BMIM_nitrate_20kHz,BMIM_nitrate,20,115,6.712905999999999,6.63781059,6.788001409999999,4.122231735000001,4.1072126653500005,4.137250804650001,527.6236372999999,521.624772525,533.6225020749999
argon_only_4kHz,argon_only,4,40,1.57849408,1.57849408,1.57849408,-0.33107774700000003,-0.34592149605,-0.31623399795,24.4432823,23.692328865,25.194235735
argon_only_4kHz,argon_only,4,60,2.52706694,2.52706694,2.52706694,-0.5205462489999999,-0.53562376075,-0.50546873725,36.300442399999994,36.300442399999994,36.300442399999994
argon_only_4kHz,argon_only,4,75,3.15821838,3.15821838,3.15821838,-0.7418184000000001,-0.8169137530000001,-0.666723047,42.624261700000005,42.624261605,42.624261795
argon_only_4kHz,argon_only,4,90,3.7906003,3.7906003,3.7906003,-0.0786171249999999,-0.7837536873500001,0.6265194373500003,52.9004678,52.14951427,53.65142133
argon_only_4kHz,argon_only,4,100,4.10617614,4.10617614,4.10617614,1.3347686775,1.327346828625,1.3421905263750002,71.87038745,68.1170808525,75.6236940475
argon_only_4kHz,argon_only,4,105,4.4223671,4.4223671,4.4223671,1.390132885,1.36009475045,1.4201710195500001,88.43196409999999,82.433102175,94.43082602499999
argon_only_4kHz,argon_only,4,115,5.21161413,5.21161413,5.21161413,2.4002829445000002,2.2351900668250004,2.565375822175,133.8551927,119.23059288,148.47979252
argon_only_10kHz,argon_only,10,40,1.57910925,1.57910925,1.57910925,0.6317052170000002,0.6316467739500001,0.6317636600500002,26.814714199999997,26.814714199999997,26.814714199999997
argon_only_10kHz,argon_only,10,60,2.2108759800000004,2.2108759800000004,2.2108759800000004,0.805548718,0.7905296474000001,0.8205677885999999,34.7194876,34.7194876,34.7194876
argon_only_10kHz,argon_only,10,75,2.8426426600000005,2.8426426600000005,2.8426426600000005,1.247908467,1.23271407865,1.26310285535,44.2052164,44.2052164,44.2052164
argon_only_10kHz,argon_only,10,90,3.4744093400000002,3.4744093400000002,3.4744093400000002,1.042445845,1.0424458231500005,1.0424458668499998,47.367126,47.367126,47.367126
argon_only_10kHz,argon_only,10,100,4.02712828,3.952032927,4.102223633,2.1399791070000003,2.1175673824500003,2.16239083155,93.9745336,93.22358007,94.72548713
argon_only_10kHz,argon_only,10,105,4.26427162,4.26427162,4.26427162,2.005905484,1.9909448612,2.0208661068,113.7057096,110.70189548,116.70952371999999
argon_only_10kHz,argon_only,10,115,4.896038290000001,4.896038290000001,4.896038290000001,3.474655499,3.41457918525,3.5347318127499996,193.482405,191.22954611999998,195.73526388000002
argon_only_20kHz,argon_only,20,40,1.7365895500000001,1.7365895500000001,1.7365895500000001,0.4738558100000001,0.47379736790000015,0.4739142521000001,33.138532999999995,33.138532999999995,33.138532999999995
argon_only_20kHz,argon_only,20,60,2.5270669399999997,2.5270669399999997,2.5270669399999997,0.6950049200000001,0.6950049181000001,0.6950049219000001,45.7861712,45.7861712,45.7861712
argon_only_20kHz,argon_only,20,75,3.1588336199999993,3.1588336199999993,3.1588336199999993,0.7898622070000001,0.75982406485,0.8199003491500001,55.271899999999995,55.271899999999995,55.271899999999995
argon_only_20kHz,argon_only,20,90,3.7899851800000004,3.7899851800000004,3.7899851800000004,0.9952017660000001,0.9802411375000001,1.0101623945,67.9195384,67.9195384,67.9195384
argon_only_20kHz,argon_only,20,100,3.9486959,3.9486959,3.9486959,1.5164862380000002,1.5164862266,1.5164862494,104.2199808,104.2199808,104.21998080000002
argon_only_20kHz,argon_only,20,105,4.42175198,4.42175198,4.42175198,3.7431717760000005,3.7281527054,3.7581908466000007,102.639026,102.639026,102.639026
argon_only_20kHz,argon_only,20,115,4.8960383,4.8960383,4.8960383,1.6744587039999996,1.6143824234999997,1.7345349844999998,134.258122,132.75621493999998,135.76002906
pure_water_4kHz,pure_water,4,40,1.89468502,1.89468502,1.89468502,1.752399097,1.7373800273500002,1.7674181666500002,36.300442499999996,36.30044240499999,36.300442595
pure_water_4kHz,pure_water,4,60,2.8432579,2.8432579,2.8432579,2.68516242,2.6551242788,2.7152005612,52.109990399999994,52.109990399999994,52.109990399999994
pure_water_4kHz,pure_water,4,75,3.47440934,3.47440934,3.47440934,3.3005658360000005,3.2856052132000007,3.3155264588,62.38619659999999,61.635243069999994,63.137150129999995
pure_water_4kHz,pure_water,4,90,4.4223671,4.4223671,4.4223671,-0.007874015499999998,-0.045275589125,0.029527558125000002,52.9004678,52.14951427,53.65142133
pure_water_4kHz,pure_water,4,100,5.36970949,5.36970949,5.36970949,1.5316498465000001,1.5166015619750004,1.546698131025,80.14886884999999,67.7712850775,92.52645262249999
